,Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Furnishing,Built_Type,Built_Size,Price_sqft,Price_room,Rooms_sqft
846,cheras,780000,1.0,1.0,1.0,Apartment,Fully Furnished,Built-up,624.0,1250.0,780000.0,624.0
847,klcc,1350000,2.0,2.0,2.0,Condominium,Fully Furnished,Built-up,1270.0,1062.992125984252,675000.0,635.0
857,cheras,535000,1.0,1.0,1.0,Serviced Residence,Partly Furnished,Built-up,762.0,702.0997375328084,535000.0,762.0
858,klcc,2400000,2.0,2.0,1.0,Serviced Residence,Fully Furnished,Built-up,1006.0,2385.685884691849,1200000.0,503.0
859,country heights damansara,11800000,7.0,8.0,6.0,Bungalow,Fully Furnished,Land area,8622.0,1368.591974019949,1685714.2857142857,1231.7142857142858
860,klcc,1250000,1.0,1.0,1.0,Serviced Residence,Fully Furnished,Built-up,850.0,1470.5882352941176,1250000.0,850.0
864,dutamas,1150000,2.0,2.0,1.0,Serviced Residence,Fully Furnished,Built-up,1148.0,1001.7421602787457,575000.0,574.0
866,mont kiara,628000,1.0,1.0,1.0,Serviced Residence,Unknown,Built-up,496.0,1266.1290322580646,628000.0,496.0
870,klcc,2761000,1.0,2.0,1.0,Serviced Residence,Partly Furnished,Built-up,1023.0,2698.9247311827958,2761000.0,1023.0
873,kepong,528000,3.0,2.0,2.0,Condominium,Partly Furnished,Built-up,960.0,550.0,176000.0,320.0
877,jalan klang lama (old klang road),509000,2.0,2.0,1.0,Serviced Residence,Unknown,Built-up,797.0,638.6449184441656,254500.0,398.5
878,mont kiara,1668000,4.0,4.0,2.0,Condominium,Partly Furnished,Built-up,1668.0,1000.0,417000.0,417.0
879,kepong,415000,4.0,2.0,2.0,Condominium,Unfurnished,Built-up,932.0,445.27896995708153,103750.0,233.0
882,jalan klang lama (old klang road),375000,1.0,2.0,1.0,Serviced Residence,Fully Furnished,Built-up,775.0,483.8709677419355,375000.0,775.0
883,setapak,380000,2.0,2.0,1.0,Serviced Residence,Unknown,Built-up,900.0,422.22222222222223,190000.0,450.0
884,wangsa maju,425000,3.0,2.0,2.0,Serviced Residence,Partly Furnished,Built-up,880.0,482.95454545454544,141666.66666666666,293.3333333333333
886,batu caves,730000,3.0,2.0,2.0,Serviced Residence,Partly Furnished,Built-up,1227.0,594.9470252648737,243333.33333333334,409.0
887,cheras,480000,3.0,2.0,2.0,Condominium,Partly Furnished,Built-up,825.0,581.8181818181819,160000.0,275.0
889,klcc,1450000,2.0,2.0,1.0,Serviced Residence,Fully Furnished,Built-up,1050.0,1380.952380952381,725000.0,525.0
893,taman desa,600000,3.0,2.0,1.0,Serviced Residence,Fully Furnished,Built-up,935.0,641.7112299465241,200000.0,311.6666666666667
894,taman desa,620000,3.0,2.0,1.0,Serviced Residence,Unfurnished,Built-up,935.0,663.1016042780749,206666.66666666666,311.6666666666667
895,taman desa,498000,2.0,2.0,1.0,Serviced Residence,Partly Furnished,Built-up,715.0,696.5034965034965,249000.0,357.5
902,sungai besi,820000,2.0,2.0,2.0,Serviced Residence,Unknown,Built-up,1259.0,651.3105639396347,410000.0,629.5
903,klcc,3609950,3.0,3.0,1.0,Serviced Residence,Fully Furnished,Built-up,1560.0,2314.0705128205127,1203316.6666666667,520.0
908,klcc,1399000,2.0,2.0,2.0,Condominium,Unknown,Built-up,1270.0,1101.5748031496064,699500.0,635.0
911,sentul,695000,2.0,2.0,2.0,Condominium,Partly Furnished,Built-up,999.0,695.6956956956957,347500.0,499.5
914,bandar menjalara,430000,3.0,2.0,2.0,Condominium,Unfurnished,Built-up,1076.0,399.6282527881041,143333.33333333334,358.6666666666667
916,bangsar,5200000,5.0,5.0,8.0,Bungalow,Partly Furnished,Land area,12250.0,424.48979591836735,1040000.0,2450.0
917,cheras,285000,3.0,2.0,1.0,Apartment,Partly Furnished,Land area,748.0,381.01604278074865,95000.0,249.33333333333334
919,cheras,400000,3.0,2.0,1.0,Condominium,Fully Furnished,Built-up,920.0,434.7826086956522,133333.33333333334,306.6666666666667
920,seputeh,543353,1.0,1.0,1.0,Condominium,Partly Furnished,Built-up,667.0,814.6221889055472,543353.0,667.0
921,bukit jalil,520000,3.0,2.0,2.0,Condominium,Partly Furnished,Built-up,1100.0,472.72727272727275,173333.33333333334,366.6666666666667
928,mont kiara,900000,3.0,2.0,1.0,Condominium,Fully Furnished,Built-up,1208.0,745.0331125827814,300000.0,402.6666666666667
937,mont kiara,1660000,3.0,4.0,2.0,Condominium,Unfurnished,Built-up,1878.0,883.9190628328008,553333.3333333334,626.0
949,bukit kiara,4467122,5.0,5.0,4.0,Terrace/Link House,Partly Furnished,Built-up,4422.0,1010.2039800995025,893424.4,884.4
950,bukit kiara,5344829,5.0,5.0,4.0,Terrace/Link House,Partly Furnished,Built-up,5315.0,1005.6122295390404,1068965.8,1063.0
959,desa parkcity,1300000,2.0,2.0,2.0,Condominium,Partly Furnished,Built-up,1323.0,982.615268329554,650000.0,661.5
961,desa parkcity,1250000,2.0,2.0,2.0,Condominium,Partly Furnished,Built-up,1300.0,961.5384615384615,625000.0,650.0
970,bangsar,950000,3.0,2.0,1.0,Condominium,Partly Furnished,Built-up,1518.0,625.8234519104084,316666.6666666667,506.0
974,damansara heights,1400000,1.0,1.0,1.0,Serviced Residence,Partly Furnished,Built-up,904.0,1548.6725663716813,1400000.0,904.0
985,desa parkcity,850000,2.0,3.0,1.0,Condominium,Fully Furnished,Built-up,1173.0,724.6376811594203,425000.0,586.5
1014,desa parkcity,1170000,3.0,2.0,2.0,Condominium,Fully Furnished,Built-up,1389.0,842.3326133909287,390000.0,463.0
1027,desa parkcity,1080000,2.0,1.0,2.0,Condominium,Partly Furnished,Built-up,1034.0,1044.4874274661508,540000.0,517.0
1036,desa parkcity,1180000,2.0,2.0,2.0,Condominium,Fully Furnished,Built-up,1087.0,1085.5565777368906,590000.0,543.5
1086,sentul,810000,3.0,3.0,2.0,Condominium,Unfurnished,Built-up,1186.0,682.9679595278246,270000.0,395.3333333333333
1087,sentul,800000,3.0,3.0,1.0,Condominium,Unfurnished,Built-up,1237.0,646.7259498787389,266666.6666666667,412.3333333333333
1092,bandar menjalara,560000,3.0,2.0,2.0,Terrace/Link House,Partly Furnished,Land area,770.0,727.2727272727273,186666.66666666666,256.6666666666667
1093,dutamas,995000,4.0,3.0,3.0,Condominium,Partly Furnished,Built-up,2100.0,473.8095238095238,248750.0,525.0
1094,desa parkcity,1820000,3.0,3.0,2.0,Terrace/Link House,Unknown,Land area,1650.0,1103.030303030303,606666.6666666666,550.0
1098,sentul,880900,3.0,3.0,3.0,Condominium,Partly Furnished,Built-up,1373.0,641.5877640203933,293633.3333333333,457.6666666666667
1100,jalan klang lama (old klang road),390000,1.0,2.0,1.0,Serviced Residence,Partly Furnished,Built-up,775.0,503.2258064516129,390000.0,775.0
1102,bukit jalil,995000,3.0,2.0,2.0,Serviced Residence,Fully Furnished,Built-up,1218.0,816.9129720853858,331666.6666666667,406.0
1103,bukit jalil,900000,3.0,2.0,2.0,Serviced Residence,Unfurnished,Built-up,1218.0,738.9162561576354,300000.0,406.0
1104,sentul,670000,3.0,2.0,1.0,Condominium,Fully Furnished,Built-up,1200.0,558.3333333333334,223333.33333333334,400.0
1105,mont kiara,1280000,3.0,2.0,2.0,Condominium,Partly Furnished,Built-up,1200.0,1066.6666666666667,426666.6666666667,400.0
1115,setapak,240000,3.0,2.0,1.0,Condominium,Unknown,Built-up,850.0,282.3529411764706,80000.0,283.3333333333333
1120,desa parkcity,6300000,7.0,7.0,10.0,Bungalow,Partly Furnished,Land area,7300.0,863.013698630137,900000.0,1042.857142857143
